Input Sample,CardiacMuscleCell,EndothelialCell,Lymphocytes,Fibroblast,Macrophage,Erythrocyte,FatCell,SmoothMuscleCell,P-value,Pearson Correlation,RMSE
SRR1392593,0,0,0.011356143242101527,0.340491465302955,0.06270383156563158,0,0.2446260736853278,0.34082248620398414,0.18181818181818182,0.5667309763821636,0.9262880940477246
SRR1336593,0.0009,0.0024254983130458,0.018893002674761048,0.29788269672921497,0.15526129820892762,0,0.04586116436818443,0.4787339850657462,0.13131313131313133,0.6323876656536184,0.9153963215182312
SRR1435206,0.008700745922610562,0,0.02271709007365874,0.10739271051740056,0.2292230040076088,0,0.003579365325419821,0.6283870841533015,0.1414141414141414,0.6022943132233485,0.9249828195554759
SRR1440541,0,0,0,0.4107788432726729,0,0.0004,0.003737136140854877,0.5850699665749782,0.36363636363636365,0.38526417708170413,0.9371377441914623
SRR1095985,0.0024123114483827488,0.022843667184736228,0.02706584883052203,0.3008285974765821,0.23247413629663904,0,0.013208217046674086,0.40116722171646385,0.12121212121212122,0.6836966660931459,0.9140627447809615
SRR1328073,0,0,0,0.3551896761171607,0,0,0.07641651914183818,0.5683938047410011,0.21212121212121213,0.5228387542034213,0.9190628331655085
SRR1403072,0,0.07443522128267961,0.0020253719852694,0.4075325864515693,0.0002,0,0.13867678489974578,0.37714097181257905,0,0.9302891250178258,0.8671870795300212
SRR1338346,0,0,0,0.2686114767252525,0,0.1907716227602074,0,0.5406169005145401,0.1717171717171717,0.57428692231177,0.8082290907901236
SRR1357323,0.010067484765537147,0.11208014253605428,0.021127424738358255,0.39028420516353995,0.1494273743460826,0,0.03548834482567207,0.28152502362475573,0.010101010101010102,0.8297056990531476,0.8964283818370585
SRR1419476,0,0.025103953039064437,0.017827792964665717,0.43079777310333084,0.14622053413793032,0,0.020339697670369757,0.3597102490846389,0.0707070707070707,0.7431457139409947,0.8965280191389323
SRR1384754,0.04935171921124127,0,0.013495334505230014,0.14491131919121059,0.11813995476489761,0,0.03582832406863974,0.6382733482587808,0.23232323232323232,0.5015870703165435,0.9340230970216461
SRR1367761,0,0,0,0.3511750427447417,0,0,0.2224079850280915,0.42641697222716674,0.2727272727272727,0.4810606094749978,0.9312381096624474
SRR1120384,0,0.003347676582647532,0.025196927074746064,0.2915499484658738,0.21268036047782185,0,0.05878906879272547,0.40843210691852766,0.15151515151515152,0.5937487043230699,0.9250344347824937
SRR1089713,0,0.0026737920886316735,0.002453664809742587,0.4838953817535529,0.0008,0,0.00818743167723339,0.5019638010946483,0.1414141414141414,0.6067291594034976,0.9002068142841416
SRR1311622,0,0.004525612661111723,0.0326659657347049,0.2079453808875015,0.2755307391628954,0.168613196663784,0.0001,0.3106313632177436,0.13131313131313133,0.6288409087532834,0.7828246200853598
SRR1070308,0,0,0,0.3164441655891855,0,0.0007,0.15827569657435803,0.5245592389703571,0.2828282828282828,0.45856497303297067,0.9324486948722814
SRR1320712,0.0029755137667919237,0.10785098146636114,0.003695337738137859,0.4776341149026223,0,0,0.0036837480049364273,0.40416030412115045,0.12121212121212122,0.6599798723388253,0.8979243675873985
SRR1419062,0.0001,0,0.01438519330532892,0.24202489092503432,0.14176813721449372,0,0.0723934415348472,0.5293739546291937,0.1414141414141414,0.6030863101278393,0.920228469902886
SRR1421420,0.00721255272945657,0,0.017380753752552425,0.10412038603162928,0.17331349416055544,0,0.2222765887141013,0.47569622461170497,0.15151515151515152,0.5997223848882681,0.9336265304038226
SRR1071856,0,0,0.030681034191967767,0.275997573547377,0.29411389546973926,0,0.01888814357494546,0.38031935321597043,0.1111111111111111,0.6945066631291614,0.915692251112482
SRR820492,0,0,0,0.3131688663710906,0,0.11949784888473038,0.0059296120878070315,0.561403672656372,0.29292929292929293,0.4388209644824763,0.888339475942425
