InputSample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	PearsonCorrelation	RMSE
X1	0.052911003841226406	0.04030234962711282	0.0144920095856476	0.39575625162687295	0.0744562070140383	0.10187872765990713	0.3202034506451948	0	0.7160283306019626	0.8281281403489604
X2	0.09666726010289883	0.09958611985654388	0.024701295201538357	0.5047970761486595	0.08100743202393547	0.13187494583408596	0.06136587083233785	0	0.715543330325064	0.7889946489596803
X3	0.0472344472715802	0.04406515020616167	0.03301224467703668	0.3473526700672906	0.3029928084203223	0.08478651516179422	0.14055616419581432	0	0.6709449263851713	0.8653985026763196
X4	0.14021646839104954	0.06755284505171498	0.01844947919862537	0.5527889481333708	0.01474479927175768	0.14413016152267086	0.06211729843081076	0	0.7153690283454213	0.7745694609457139
X5	0.08281501898221792	0.03384603034101177	0.02578421953732203	0.263973082023671	0.22572671232512032	0.06224454149241139	0.30561039529824563	0	0.6503989203862209	0.9009837661187892
X6	0.02604835522632132	0.03658340689014931	0.01803975613805432	0.30124748659388	0.1079204237072462	0.06467784519090121	0.44548272625344765	0	0.6161153745046062	0.9037385043916175
X7	0.06879039814557253	0.07030458227658681	0.015924516423726387	0.33187502469841296	0.012738252446492408	0.081310460305849	0.4190567657033599	0	0.6851247665430195	0.8660569554788763
X8	0.10054062124891135	0.07601508556915916	0.02700478693681231	0.43801232178705685	0.15820270799499114	0.11481929980880891	0.08540517665426031	0	0.7161498734338899	0.81065094727464
X9	0.04742916882685442	0.123170024110958	0.022265702634051875	0.539783069858309	0.004242453203517711	0.14297511062655366	0.12013447073975533	0	0.7170101420166882	0.7750031738322829
X10	0.11339712546524326	0.08066934529856234	0.018497076583941806	0.3961422631656385	0.1553496264178099	0.11534959827342404	0.12059496479538008	0	0.7172961640106309	0.809452522268658
X11	0.04919955672453483	0.053913372179852356	0.017149421316425374	0.3109223500952599	0.053945205416709524	0.08018888003588137	0.4346812142313366	0	0.709765940738264	0.8615568067274526
X12	0.08859564744077085	0.05559337277602762	0.02369083671177451	0.43524362345113493	0.10640370971361084	0.11183174581314367	0.17864106409353758	0	0.713122784193265	0.8156191021194749
X13	0.03090362035068521	0.07815580697105472	0.020228549548644715	0.41815610274117837	0.02986539431207684	0.1078480508888703	0.31484247518748987	0	0.7145871066327744	0.8202640897580499
X14	0.1484382077211407	0.04106480194890135	0.0159011740518182	0.37947090642029757	0.09042685461411101	0.10638873371616063	0.2183093215275706	0	0.7172818989843388	0.8215723819439743
X15	0.004938668110453372	0.08670368407025367	0.017138500119070015	0.5825315801827565	0.01968686967548002	0.15697055533587984	0.1320301425061065	0	0.7173283098646936	0.7594003256570248
X16	0.0401131533684225	0.07875234438491352	0.02092150320358313	0.463081103370251	0.042881165948992855	0.11965358360595156	0.23459714611788543	0	0.7160448836498574	0.804002287651593
X17	0.02243108261183354	0.05349403756595141	0.02558490593337502	0.3028264827515772	0.21208735406497684	0.05262565528726652	0.3309504817850194	0.01	0.5074544512301756	0.9364421325905135
X18	0.01381782995062779	0.035991721432510525	0.015429171587977132	0.656590897367096	0.05052350614634444	0.17196458837431755	0.05568228514112662	0	0.7168322510466458	0.7449541385834654
X19	0.020838889675492973	0.04779734498918876	0.020146165121469523	0.4978613397206052	0.1431455940519376	0.12929428494873893	0.14091638149256694	0	0.7161597974091384	0.7917871263558491
X20	0.03043986104090071	0.07219878113957118	0.016116631227777494	0.6666724136039184	0.006565350215817433	0.20486396527238904	0.003142997499625818	0	0.7174091912804725	0.7186915168955003
X21	0.1467626290227651	0.06499326103574223	0.02983284715695929	0.37259085011861814	0.2503699614150776	0.10376883699988539	0.031681614250952256	0	0.7172298912077242	0.8256264397488007
X22	0.0046219766141735235	0.05050188122278571	0.025245685808429924	0.28072166293814327	0.21145712474355546	0.06818715865011316	0.35926451002279897	0	0.6755255674958627	0.8873920836120303
X23	0.029881608520446995	0.03998298024277452	0.02071187308426446	0.5395801878280666	0.15116232494209028	0.13905921659852477	0.07962180878383235	0	0.7137711680867208	0.7811572760251544
X24	0.09218442110707913	0.05446569994151126	0.019470620480339172	0.3086198778536597	0.0768695328340747	0.06949054592037121	0.37889930186296483	0	0.6352535114196738	0.8937931531396642
