InputSample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	PearsonCorrelation	RMSE
GTEX-14JIY-0626-SM-62LF9.1	0.19737702935280518	0.15100035765550374	0	0.533982874716022	0	0	0.11763973827566897	0.09	0.08295613547097204	0.998969405712772
GTEX-14PN3-0426-SM-6LLIY.1	0.04479648699142982	0.08199328940705618	0	0.3557391309528447	0	0	0.517421157791263	0	0.4939772657036342	0.9940231839634702
GTEX-1AX9K-0326-SM-7DHM9.1	0.1104784260436677	0.1377805016361351	0	0.5946476331532461	0	0	0.15709343916695115	0	0.7920353581575321	0.9931880791024023
GTEX-1C64O-1126-SM-7IGMY.1	0.09519289644089292	0.12375894967127685	0	0.5265108361543798	0	0	0.2545373177334505	0	0.545723787820257	0.9949466190951473
GTEX-1CB4E-0726-SM-7EWEY.1	0.08251415951695763	0.09012012205050032	0	0.3978442036010846	0	0	0.42952151483145745	0.03	0.3028972965104148	0.9965344848973555
GTEX-1H11D-1426-SM-9MQKY.1	0.10589909263550591	0.09640721453355759	0	0.5274189169843825	0	0	0.270274775846554	0	0.6618507650314099	0.9938211378434263
GTEX-1KXAM-1526-SM-D4P3Y.1	0.07360117785996656	0.09613127071455806	0	0.4957229743033189	0.0003	0	0.3342722384103753	0	0.6160838564593426	0.9938597476483585
GTEX-131YS-1226-SM-5K7VE.1	0.08159640523705271	0.1288424847871976	0	0.5669658484134222	0.01414221210072024	0	0.20845304946160712	0	0.7077716154568721	0.9937168146050797
GTEX-WYJK-0926-SM-4ONCF.1	0.11105109973600098	0.15410432562473078	0	0.7052410254587553	0	0	0.029603549180512844	0	0.7659284975681431	0.9931862395387611
GTEX-YJ8O-0126-SM-5QGRG.1	0.1041334208333354	0.11987381804191512	0	0.6300577655072241	0	0	0.1459349956175255	0	0.6446729031358165	0.9942310376958016
GTEX-ZAB5-2726-SM-5J2NH.1	0.29092756630826944	0.08356574378358199	0	0.5830144241453536	0	0	0.042492265762794926	0.27	0.034316086029675855	0.9993195743025037
GTEX-YEC4-0426-SM-4W1ZH.1	0.08119301151085308	0.13879580901836047	0	0.6244729700685105	0.0017447710874804886	0	0.1537934383147955	0	0.7543515374564571	0.9933241342444669
GTEX-ZYFG-0126-SM-5GIDH.1	0.07782863839142559	0.09112234728236347	0	0.38729718338851343	0	0	0.44375183093769754	0	0.3947122191602787	0.9955456487243507
GTEX-ZAB4-0726-SM-5HL8I.1	0.10781022305501735	0.11421337023853452	0	0.5138995120061673	0	0	0.2640768947002807	0	0.43658303181742425	0.995862654553163
GTEX-YEC3-0326-SM-5IFJJ.1	0.06443669128218264	0.10543539272174053	0	0.4530294543189855	0.0036189125745144934	0	0.3734795491025768	0.03	0.3026464407838093	0.996694285039305
GTEX-13FTW-0926-SM-5J2NJ.1	0.09205606960070638	0.12313567364791819	0	0.5394150941439207	0.0016299204221245874	0	0.24376324218533008	0	0.7015988529529067	0.9936403113963479
GTEX-14C38-1226-SM-5S2UK.1	0.10440655749286647	0.15834025657035503	0	0.7063791107138602	0.00265347435256053	0	0.028220600870357757	0	0.7684118381157609	0.9931669426802104
GTEX-QEL4-1026-SM-4R1JK.1	0.0784113527788084	0.09579064611149164	0	0.4115030337618598	0	0	0.41429496734784016	0	0.49436224285979863	0.9946834301077438
GTEX-ZGAY-0426-SM-4WWAM.1	0.10558982900635247	0.08990214017665078	0	0.48374437905170603	0.001289541537332917	0	0.3194741102279578	0	0.6402888797491203	0.9938105226047823
GTEX-13CF3-0626-SM-5J1NO.1	0.08531998858135516	0.11776439252186169	0	0.5232742508287416	0	0	0.2736413680680415	0	0.6358100480424903	0.9940515669723765
GTEX-11ZTS-1026-SM-5LU8O.1	0.10387670001544602	0.12075848928690676	0	0.6363862707230845	0	0	0.13897853997456264	0	0.4775813308669952	0.9956166541100538
GTEX-QV44-0726-SM-4R1KP.1	0.19183907938748673	0.12683434327293308	0	0.5042880837858968	0	0	0.17703849355368342	0	0.42318308139416994	0.9964033015999553
