NAME	CMC	END	LYM	SMC	MAC	RBC	ADI
7SK	367.99999999999983	33.0	335.49999999999983	3854.499999999999	404.0	2580970.999999999	36433.500000000015
ABCC13	1.0	1.0	1.0	1.0	2.0	33974.999999999956	1.0
ABCC9	190.0	1.0	1.0	466.0	1.0	1.0	856.4999999999999
ABCG2	16.0	146.00000000000003	15.000000000000002	29.999999999999993	16.999999999999996	27982.0	18.999999999999996
AC004076.9	46.00000000000001	16.999999999999996	21.000000000000007	33.99999999999999	12.000000000000004	54258.00000000004	55.500000000000014
AC006129.2	1.0	20.500000000000007	521.0000000000005	1.0	5.5	1.0	1.0
AC007563.5	121.00000000000009	1.0	1.0	1219.9999999999995	2.0	1.0	1708.4999999999995
AC007750.5	8.999999999999998	7.0	1.0	1023.5	6.0	1.0	446.5
AC008984.2	1.0	1.0	8.0	1.0	327.50000000000006	1.0	1.0
AC009413.2	8.999999999999998	11.000000000000004	28.999999999999996	9.499999999999998	18.999999999999996	27595.000000000025	61.0
AC011899.9	1.0	1.5	4.0	1.0	347.0	1.0	1.0
AC018755.18	1.0	3.0	28.999999999999996	1.0	1304.4999999999998	1.0	1.0
AC132217.4	2121.9999999999986	15.000000000000002	1.0	12.000000000000002	2.0	388.9999999999997	56.00000000000002
AC142391.3	15.000000000000002	3892.999999999999	3.0	58.999999999999986	2.0	1.0	13.999999999999996
ACPP	109.00000000000004	2.0	6.0	17.0	560.5	1.0	5.000000000000001
ACTC1	65284.99999999998	2.0	2.0	9.999999999999998	4.0	1.0	7.5
ACTN2	12740.999999999985	9.999999999999998	2.0	3.0	6.0	1.0	3.0
ACVRL1	7.0	5329.5	2.0	521.4999999999998	127.99999999999994	1.0	464.9999999999999
ADAM33	85.0	2.0	1.0	365.5	2.0	1.0	1067.5000000000005
ADAMTS1	1952.9999999999989	695.5000000000001	8.0	10353.999999999995	4.0	1.0	2205.5000000000005
ADAMTS12	1370.0	27.0	2.0	4681.999999999998	2.0	1.0	4168.999999999999
ADAMTS15	555.0000000000002	2.0	2.0	336.9999999999998	5.000000000000001	1.0	3681.999999999999
ADAMTS18	37.00000000000001	636.5000000000005	1.0	21.0	1.0	1.0	154.5
ADAMTS19	1244.0000000000007	1.0	1.0	3.5	1.0	1.0	5.000000000000001
ADAMTS2	395.9999999999997	2.0	2.0	4888.5	32.0	1.0	6223.499999999998
ADAMTS9	4415.999999999997	1146.0	1.0	53.5	3.0	1.0	724.4999999999998
ADAP2	12.000000000000004	8.999999999999998	39.999999999999986	21.0	2326.999999999999	1.0	16.0
ADGRF5	16.0	1099.0000000000005	1.0	2.0	1.0	1.0	31.499999999999996
ADGRG5	9.999999999999998	2.0	437.5000000000001	1.0	13.499999999999998	1.0	3.0
ADGRL2	3513.999999999999	2058.500000000001	1.0	2866.5	2.0	1.0	3093.9999999999995
ADGRL3	1279.0000000000002	1.0	1.0	2.5	1.0	1.0	28.499999999999993
ADGRL4	43.0	5320.499999999998	1.0	968.9999999999995	1.0	1.0	108.50000000000003
ADH1A	11.000000000000004	1.0	2.0	4.5	1.0	1.0	576.4999999999998
ADH1B	8.0	1.0	1.0	14.5	1.0	1.0	36190.999999999985
ADH1C	1.0	1.0	1.0	5.000000000000001	1.0	1.0	550.0
ADIPOQ	1.0	1.0	1.0	1.0	1.0	1.0	136604.99999999994
ADIPOQ-AS1	1.0	1.0	1.0	1.0	1.0	1.0	66442.50000000003
AGT	378.9999999999997	1.0	1.0	7.0	1.0	1.0	1319.0
AHSP	1.0	2.0	1.0	1.0	1.0	22988.0	1.0
AIF1	17.999999999999996	2.0	173.50000000000003	1.0	8890.5	16.999999999999996	1.0
AKAP7	145.0	80.49999999999997	180.0	62.999999999999986	147.00000000000003	142992.99999999968	194.5
