NAME	CMC	END	LYM	SMC	MAC	RBC	ADI
7SK	215.00000000000003	24.0	287.5	4631.000000000002	508.0	1314349.999999999	43200.49999999996
ABCC13	1.0	1.0	1.0	1.0	2.0	18308.999999999993	1.0
ABCC9	146.00000000000003	1.0	1.0	487.5	1.0	1.0	944.0000000000002
ABCG2	21.000000000000007	145.00000000000006	13.999999999999996	29.5	17.499999999999996	15640.999999999993	21.500000000000004
AC004076.9	35.99999999999999	16.0	21.000000000000007	36.5	13.0	28022.999999999975	62.5
AC006129.2	1.0	18.999999999999996	507.5000000000001	1.0	6.0	1.0	1.0
AC007563.5	49.00000000000001	1.0	1.0	1222.4999999999998	2.0	1.0	1940.0
AC007750.5	1.0	6.0	1.0	959.0000000000003	6.0	1.0	509.4999999999999
AC008984.2	1.0	1.0	8.0	1.0	353.9999999999999	1.0	1.0
AC009413.2	13.0	9.499999999999998	27.999999999999993	9.999999999999998	21.000000000000007	14504.000000000005	61.999999999999986
AC011899.9	1.0	1.0	4.5	1.0	380.49999999999983	1.0	1.0
AC018755.18	1.0	3.0	27.999999999999993	1.0	1440.0	1.0	1.0
AC132217.4	942.0000000000006	13.0	1.0	11.0	2.0	203.99999999999994	66.99999999999999
AC142391.3	8.0	3409.0	3.0	56.499999999999986	2.0	1.0	15.5
ACPP	76.99999999999999	2.0	6.0	17.499999999999996	565.5	1.0	5.000000000000001
ACTC1	46809.999999999956	2.0	2.0	9.499999999999998	4.0	1.0	8.0
ACTN2	8146.0	8.999999999999998	2.0	3.0	6.0	1.0	3.0
ACVRL1	8.0	4665.0	2.0	527.5	131.00000000000006	1.0	548.0000000000003
ADAM33	32.0	2.0	1.0	360.0000000000002	2.0	1.0	1185.5
ADAMTS1	1055.9999999999993	611.5	8.0	10571.500000000007	4.0	1.0	2365.499999999999
ADAMTS12	909.0000000000003	25.5	1.0	4249.499999999998	2.0	1.0	4732.000000000001
ADAMTS15	358.0	2.0	2.0	317.4999999999998	4.0	1.0	4358.000000000001
ADAMTS18	8.0	573.5	1.0	20.5	1.0	1.0	184.00000000000003
ADAMTS2	301.99999999999994	2.0	2.0	4929.499999999999	37.00000000000001	1.0	6817.000000000002
ADAMTS9	2723.000000000001	991.9999999999997	1.0	53.500000000000014	3.0	1.0	776.0000000000006
ADAP2	12.000000000000004	8.0	39.999999999999986	21.500000000000004	2568.4999999999995	1.0	18.499999999999996
ADGRF5	11.000000000000004	996.5000000000005	1.0	2.0	1.0	1.0	39.999999999999986
ADGRG5	13.0	2.0	432.4999999999999	1.0	15.5	1.0	3.0
ADGRL2	2119.9999999999986	1844.4999999999989	1.0	2738.499999999999	3.0	1.0	3911.0000000000005
